stamp	navigation_system	satellite_num	satellite_frequency 1 3 3	elevation	azimuth	
     4	193	172	171	0	43	43264
     5	14	180	199	0	55	50688
     0	32	182	137	0	65	27904
     3	19	158	166	126	80	44544
     5	3	153	180	0	50	49920
     5	4	129	0	0	31	30976
     3	1	186	180	141	57	64000
     1	128	118	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	152	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299151.083
     5	10	163	185	0	48	57600
     5	7	168	158	0	72	57344
     2	9	113	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	107	0	0	25	10753
     0	29	124	0	0	27	24064
     2	5	187	170	0	44	42496
     0	26	196	152	0	50	55808
     2	15	127	90	0	22	9216
     4	193	174	171	0	43	43264
     5	14	181	200	0	55	50688
     0	32	182	139	0	65	28160
     3	19	159	166	124	80	44544
     5	3	152	180	0	50	49920
     5	4	128	0	0	31	30976
     3	1	185	180	137	57	64000
     5	2	125	0	0	36	59392
     1	128	119	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	153	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299152.093
     5	10	164	185	0	48	57600
     5	7	169	160	0	72	57344
     2	9	109	0	0	26	65024
     5	1	152	182	0	46	36608
     0	22	105	0	0	25	10753
     0	29	126	0	0	27	24064
     2	5	188	172	0	44	42496
     0	26	196	152	0	50	55808
     2	15	127	88	0	22	9216
     4	193	172	170	0	43	43264
     5	14	182	199	0	55	50688
     0	32	182	139	0	65	28160
     3	19	158	165	127	80	44544
     5	3	154	180	0	50	49920
     5	4	131	0	0	31	30976
     3	1	188	179	139	57	64000
     5	2	126	0	0	36	59392
     1	128	119	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	146	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299153.079
     5	10	163	186	0	48	57600
     5	7	169	160	0	72	57344
     2	9	109	0	0	26	65024
     5	1	152	182	0	46	36608
     0	22	95	0	0	25	10753
     0	29	126	0	0	27	24064
     2	5	189	173	0	44	42496
     0	26	197	154	0	50	55808
     2	15	128	90	0	22	9216
     4	193	170	170	0	43	43264
     5	14	183	200	0	55	50688
     0	32	183	139	0	65	28160
     3	19	157	168	125	80	44544
     5	3	153	181	0	50	49920
     5	4	131	0	0	31	30976
     3	1	189	179	141	57	64000
     5	2	124	0	0	36	59392
     1	128	117	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299154.076
     5	10	165	186	0	48	57600
     5	7	168	160	0	72	57344
     2	9	109	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	101	0	0	25	10753
     0	29	128	0	0	27	24064
     2	5	188	172	0	44	42496
     0	26	197	151	0	50	55808
     2	15	128	90	0	22	9216
     4	193	172	171	0	43	43264
     5	14	182	198	0	55	50688
     0	32	183	140	0	65	28160
     3	19	158	168	128	80	44544
     5	3	153	181	0	50	49920
     5	4	131	144	0	31	30976
     3	1	188	180	138	57	64000
     1	128	121	0	0	36	59648
     1	137	156	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299155.076
     5	10	164	187	0	48	57600
     5	7	167	157	0	72	57344
